id,email,first_name,last_name,birthday,city,sex,profession,purpose,additionally,character
1,anna@mail.ru,Анна,Сидорова,2000-03-15,605,Ж,художник,Найти друзей для общения по интересам,Провожу обучающие уроки по рисованию,Спокойный
2,pupkin@yandex.ru,Василий,Пупкин,1983-12-31,827,М,риелтор,Ищу друзей для совместных путешествий,Люблю ездить на велосипеде рано утром,Жизнерадостный
3,vano04@mail.ru,Иван,Иванов,1999-04-09,73,М,программист,Хочу найти интересных людей для общения и встреч,Мечтаю побывать на Камчатке,Уравновешенный
4,maria@mail.ru,Мария,Петрова,1995-07-07,170,Ж,учитель,Найти единомышленников,Люблю котиков),Замурчательный
5,sidorova@yandex.ru,Жанна,Сидорова,2001-02-19,742,Ж,стюардесса,Ищу друзей для прогулок,Люблю свою работу,Эмоциональный
6,semsem@mail.ru,Семен,Семенов,2000-03-15,605,М,музыкант,Ищу музыкантов для своей группы,,Дружелюбный
7,borya86@gmail.com,Борис,Антонов,1986-01-10,609,М,дизайнер,Найти интересных мне людей,Люблю готовить кофе,Творческий
8,peterpen@yandex.ru,Петр,Павлов,2003-11-11,827,М,тестировщик,Найти веселую компанию для путешествий,Обожаю отдых с палатками,Активный
9,andrew@mail.ru,Андрей,Степанов,1988-05-25,714,М,врач,Найти новых пациентов),Мастер шашлыка,Веселый
10,kotik@mail.ru,Варвара,Котикова,2000-08-11,609,Ж,косметолог,Ищу интересных людей,Мечтаю выучить несколько языков,Спокойный
11,pereniki@yandex.ru,Николай,Перелыгин,2000-03-15,1013,М,механик,Найти друзей по интересам,Мечтаю о кругосветном путешествии,Бодрый
12,fedorov@mail.ru,Константин,Федоров,1986-06-12,605,М,инженер,Ищу друзей для прогулок,Развожу хомячков,Уравновешенный
13,nest@yandex.ru,Анастасия,Симонова,1985-02-15,978,Ж,архитектор,Найти друзей для общения,Люблю дружеские встречи и вечеринки,Веселый
14,anna@mail.ru,Михаил,Зубенко,2000-03-15,978,М,продавец,Участие в мероприятиях по интересам,Хочу открыть свой бизнес,Энергичный
15,tshurova@mail.ru,Маргарита,Кудряшкина,2000-03-15,978,Ж,парикмахер,Поиск друзей для похода в кино,Люблю фильмы с Джимом Керри,Общительный
