id,email,first_name,last_name,birthday,city,sex,profession,purpose,additionally
1,anna@mail.ru,Анна,Сидорова,2000-03-15,607,Ж,художник,Найти друзей для общения по интересам,Провожу обучающие уроки по рисованию
2,pupkin@yandex.ru,Василий,Пупкин,1983-12-31,829,М,риелтор,Ищу друзей для совместных путешествий,Люблю ездить на велосипеде рано утром
3,vano04@mail.ru,Иван,Иванов,1999-04-09,75,М,программист,Хочу найти интересных людей для общения и встреч,Мечтаю побывать на Камчатке
4,maria@mail.ru,Мария,Петрова,1995-07-07,172,Ж,учитель,Найти единомышленников,Люблю котиков)
5,sidorova@yandex.ru,Жанна,Сидорова,2001-02-19,745,Ж,стюардесса,Ищу друзей для прогулок,Люблю свою работу
6,semsem@mail.ru,Семен,Семенов,2000-03-15,607,М,музыкант,Ищу музыкантов для своей группы,Только рок-н-ролл
7,borya86@gmail.com,Борис,Антонов,1986-01-10,609,М,дизайнер,Найти интересных мне людей,Люблю готовить кофе
8,peterpen@yandex.ru,Петр,Павлов,2003-11-11,829,М,тестировщик,Найти веселую компанию для путешествий,Обожаю отдых с палатками
9,andrew@mail.ru,Андрей,Степанов,1988-05-25,716,М,врач,Найти новых пациентов),Мастер шашлыка
10,kotik@mail.ru,Варвара,Котикова,2000-08-11,611,Ж,косметолог,Ищу интересных людей,Мечтаю выучить несколько языков
11,pereniki@yandex.ru,Николай,Перелыгин,2000-03-15,1015,М,механик,Найти друзей по интересам,Мечтаю о кругосветном путешествии
12,fedorov@mail.ru,Константин,Федоров,1986-06-12,607,М,инженер,Ищу друзей для прогулок,Развожу хомячков
13,nest@yandex.ru,Анастасия,Симонова,1985-02-15,980,Ж,архитектор,Найти друзей для общения,Люблю дружеские встречи и вечеринки
14,watermelon@mail.ru,Артем,Арбузов,2000-03-15,1034,М,продавец,Участие в мероприятиях по интересам,Хочу открыть свой бизнес
15,tshurova@mail.ru,Маргарита,Кудряшкина,2000-03-15,980,Ж,парикмахер,Поиск друзей для похода в кино,Люблю фильмы с Джимом Керри
